id,user_id,doubt_id,created_at,activity_type,user_type
2121357,120623,248193,2020-01-01 04:26:08 UTC,assign,TA
2121358,120623,248193,2020-01-01 04:26:15 UTC,accept,TA
2121359,165368,248199,2020-01-01 04:29:18 UTC,assign,TA
2121360,165368,248199,2020-01-01 04:29:34 UTC,reject,TA
2121399,265305,248191,2020-01-01 04:35:07 UTC,assign,TA
2121400,265305,248191,2020-01-01 04:35:16 UTC,accept,TA
2121401,265305,248194,2020-01-01 04:35:39 UTC,assign,TA
2121402,265305,248194,2020-01-01 04:35:43 UTC,accept,TA
2121403,265305,248198,2020-01-01 04:35:49 UTC,assign,TA
2121404,265305,248198,2020-01-01 04:35:57 UTC,accept,TA
2121423,165368,248190,2020-01-01 04:45:18 UTC,assign,TA
2121425,165368,248190,2020-01-01 04:45:40 UTC,accept,TA
2121428,265305,248194,2020-01-01 04:48:07 UTC,review_resolution,TA
2121430,165368,248190,2020-01-01 04:49:08 UTC,review_resolution,TA
2121441,120623,248193,2020-01-01 04:50:44 UTC,review_resolution,TA
2121457,120623,248193,2020-01-01 04:55:33 UTC,reactivate,TA
2121464,265305,248191,2020-01-01 04:56:40 UTC,pending_action_required,TA
2121490,120623,248193,2020-01-01 05:04:32 UTC,review_resolution,TA
2121499,165368,248209,2020-01-01 05:07:28 UTC,assign,TA
2121500,165368,248209,2020-01-01 05:07:32 UTC,reject,TA
2121501,165368,248209,2020-01-01 05:07:33 UTC,assign,TA
2121503,165368,248209,2020-01-01 05:07:36 UTC,accept,TA
2121515,29564,248188,2020-01-01 05:13:31 UTC,assign,TA
2121529,165368,248209,2020-01-01 05:23:50 UTC,review_resolution,TA
2121531,265305,248198,2020-01-01 05:23:52 UTC,assign,TA
2121532,265305,248198,2020-01-01 05:23:55 UTC,reject,TA
2121558,165368,248212,2020-01-01 05:28:08 UTC,assign,TA
2121559,120623,248198,2020-01-01 05:28:23 UTC,assign,TA
2121561,165368,248212,2020-01-01 05:28:30 UTC,reject,TA
2121581,165368,248211,2020-01-01 05:29:37 UTC,assign,TA
2121582,165368,248211,2020-01-01 05:29:46 UTC,accept,TA
2121591,165368,248207,2020-01-01 05:32:06 UTC,assign,TA
2121592,165368,248207,2020-01-01 05:32:12 UTC,accept,TA
2121593,165368,248211,2020-01-01 05:32:33 UTC,escalate,TA
2121594,165368,248212,2020-01-01 05:32:41 UTC,assign,TA
2121596,165368,248212,2020-01-01 05:33:17 UTC,reject,TA
2121597,165368,248212,2020-01-01 05:33:19 UTC,assign,TA
2121598,165368,248212,2020-01-01 05:33:21 UTC,accept,TA
2121602,165368,248207,2020-01-01 05:36:33 UTC,review_resolution,TA
2121614,165368,248212,2020-01-01 05:40:44 UTC,review_resolution,TA
2121687,165368,248214,2020-01-01 05:52:24 UTC,assign,TA
2121688,165368,248214,2020-01-01 05:52:27 UTC,accept,TA
2121695,165368,248214,2020-01-01 05:56:32 UTC,review_resolution,TA
2121713,165368,248216,2020-01-01 06:15:50 UTC,assign,TA
2121716,165368,248219,2020-01-01 06:17:15 UTC,assign,TA
2121717,165368,248219,2020-01-01 06:17:18 UTC,reject,TA
2121732,165368,248216,2020-01-01 06:24:23 UTC,assign,TA
